model_source,model_display,disease,title,row_type,topic,project,label,gt,tp,fp,raw,recall,nns,nns_lo,nns_hi,project_count,source_experiment
gemini_2_5_flash,Gemini 2.5 Flash,mpox,Mpox,project,Serial Interval,10,"Wu et al., 2025",15,14,386,612,0.9333333333333333,28.571428571428573,17.275436983628584,47.70742015922855,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash
gemini_2_5_flash,Gemini 2.5 Flash,mpox,Mpox,project,Serial Interval,11,"Diaz Brochero et al., 2025",5,5,41,63,1.0,9.2,4.3406351618955545,21.12790883810444,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash
gemini_2_5_flash,Gemini 2.5 Flash,mpox,Mpox,project,Serial Interval,5,"Wang et al., 2022",8,6,18,59,0.75,4.0,2.227180157269716,8.333886509396951,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash
gemini_2_5_flash,Gemini 2.5 Flash,mpox,Mpox,project,Serial Interval,6,"Ponce et al., 2024",5,5,82,522,1.0,17.4,7.838498839152161,40.33026916084785,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash
gemini_2_5_flash,Gemini 2.5 Flash,mpox,Mpox,subtotal,Serial Interval,,Serial Interval,33,30,527,1256,0.9090909090909091,18.566666666666666,13.18440733985971,26.326449549029174,4,
gemini_2_5_flash,Gemini 2.5 Flash,mpox,Mpox,project,Reproduction Number,9,"Okoli et al., 2024",3,3,549,819,1.0,184.0,63.06842373197255,540.5497096013609,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash
gemini_2_5_flash,Gemini 2.5 Flash,mpox,Mpox,subtotal,Reproduction Number,,Reproduction Number,3,3,549,819,1.0,184.0,63.06842373197255,540.5497096013609,1,
gemini_2_5_flash,Gemini 2.5 Flash,mpox,Mpox,project,Fatality,12,"Sanchez Clemente et al., 2024",16,16,530,643,1.0,34.125,21.24555264674555,55.197859853254464,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash
gemini_2_5_flash,Gemini 2.5 Flash,mpox,Mpox,project,Fatality,4,"Cadmus et al., 2024",14,2,3,92,0.14285714285714285,2.5,1.2999166907720672,8.502083309227931,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash
gemini_2_5_flash,Gemini 2.5 Flash,mpox,Mpox,project,Fatality,7,"Vasudevan et al., 2025",27,27,150,352,1.0,6.555555555555555,4.698271481797907,9.345573785691805,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash
gemini_2_5_flash,Gemini 2.5 Flash,mpox,Mpox,project,Fatality,8,"Sharif et al., 2023",14,8,253,683,0.5714285714285714,32.625,16.861359005708504,64.05516599429149,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash
gemini_2_5_flash,Gemini 2.5 Flash,mpox,Mpox,subtotal,Fatality,,Fatality,71,53,936,1770,0.7464788732394366,18.660377358490567,14.402685213512637,24.270629987626556,4,
gpt_4_1,GPT-4.1,covid19,COVID-19,project,Serial Interval,10,"Madewell et al., 2023",28,26,45,599,0.9285714285714286,2.730769230769231,2.0728397743403155,3.7921803440028787,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1
gpt_4_1,GPT-4.1,covid19,COVID-19,project,Serial Interval,11,"Xu et al., 2023",76,70,84,841,0.9210526315789473,2.2,1.8749753490269958,2.6457606509730045,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1
gpt_4_1,GPT-4.1,covid19,COVID-19,project,Serial Interval,12,"Alene et al., 2021",19,17,23,146,0.8947368421052632,2.3529411764705883,1.7299481838028616,3.507643511698868,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1
gpt_4_1,GPT-4.1,covid19,COVID-19,project,Serial Interval,13,"Ali et al., 2022",51,44,30,111,0.8627450980392157,1.6818181818181819,1.4304185018486124,2.0800558783166765,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1
gpt_4_1,GPT-4.1,covid19,COVID-19,project,Serial Interval,14,"Rai et al., 2021",9,8,39,94,0.8888888888888888,5.875,3.3178444110190295,11.253330588980967,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1
gpt_4_1,GPT-4.1,covid19,COVID-19,subtotal,Serial Interval,,Serial Interval,183,165,221,1791,0.9016393442622951,2.3393939393939394,2.0951607328644,2.6380939080906036,5,
gpt_4_1,GPT-4.1,covid19,COVID-19,project,Reproduction Number,7,"Dhungel et al., 2022",122,119,99,574,0.9754098360655737,1.8319327731092436,1.6377298628509378,2.0852747837135706,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1
gpt_4_1,GPT-4.1,covid19,COVID-19,project,Reproduction Number,8,"Ahammed et al., 2021",44,42,252,575,0.9545454545454546,7.0,5.334161190751491,9.306105475915174,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1
gpt_4_1,GPT-4.1,covid19,COVID-19,project,Reproduction Number,15,"Billah et al., 2020",25,24,402,709,0.96,17.75,12.127303974350237,26.213879358983096,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1
gpt_4_1,GPT-4.1,covid19,COVID-19,project,Reproduction Number,16,"Yu et al., 2021",36,32,245,575,0.8888888888888888,8.65625,6.307702874440216,12.043979938059783,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1
gpt_4_1,GPT-4.1,covid19,COVID-19,project,Reproduction Number,17,"Alimohamadi et al., 2020",15,12,100,209,0.8,9.333333333333334,5.6185306432765465,16.03604713450123,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1
gpt_4_1,GPT-4.1,covid19,COVID-19,subtotal,Reproduction Number,,Reproduction Number,242,229,1098,2642,0.9462809917355371,5.794759825327511,5.1589218938694215,6.527808015933977,5,
gpt_4_1,GPT-4.1,covid19,COVID-19,project,Fatality,4,"Lim et al., 2021",56,55,163,345,0.9821428571428571,3.963636363636364,3.1857413116742204,5.01838060568115,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1
gpt_4_1,GPT-4.1,covid19,COVID-19,project,Fatality,5,"Ioannidis et al., 2021",48,48,287,1882,1.0,6.979166666666667,5.40973171091198,9.107167594643572,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1
gpt_4_1,GPT-4.1,covid19,COVID-19,project,Fatality,6,"Alimohamadi et al., 2021",32,29,838,2253,0.90625,29.896551724137932,20.997303154909027,42.7561655727961,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1
gpt_4_1,GPT-4.1,covid19,COVID-19,subtotal,Fatality,,Fatality,136,132,1288,4480,0.9705882352941176,10.757575757575758,9.159296477492493,12.668933090918893,3,
gpt_4_1,GPT-4.1,mpox,Mpox,project,Serial Interval,10,"Wu et al., 2025",15,13,524,612,0.8666666666666667,41.30769230769231,24.40504864287637,70.41707680091062,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1
